,SK_ID_CURR,y_proba
0,149741,0.22298831
1,363290,0.026374754
2,436006,0.07371714
3,377703,0.048478
4,188624,0.31295803
5,454397,0.102742605
6,358007,0.043940928
7,140209,0.06804328
8,234837,0.021133866
9,269983,0.07737508
10,435574,0.031693026
11,299809,0.21334557
12,386485,0.031193923
13,269948,0.037799247
14,280976,0.076885805
15,238068,0.032928646
16,304049,0.06454405
17,414990,0.055057995
18,217203,0.031257626
19,376182,0.01747997
20,105944,0.056285072
21,141357,0.04619828
22,309630,0.02993024
23,242368,0.058273654
24,442101,0.075976014
25,398068,0.03209787
26,200440,0.10371846
27,130746,0.042970903
28,391997,0.02917075
29,290025,0.02718953
30,343846,0.0717467
31,126485,0.12912485
32,104163,0.1760641
33,362585,0.09689091
34,208568,0.06902739
35,223220,0.059347562
36,115449,0.0137476595
37,157918,0.03151673
38,235847,0.15223251
39,424643,0.09769591
40,260115,0.014045119
41,101029,0.04626896
42,209683,0.111103244
43,332916,0.046926975
44,170649,0.046854477
45,148754,0.06884532
46,322016,0.085867114
47,410057,0.012645271
48,400391,0.10699248
49,303311,0.094148375
50,306375,0.2373337
51,349106,0.05216524
52,276461,0.027806668
53,410126,0.01575438
54,150037,0.22945057
55,454632,0.16907749
56,174402,0.33723518
57,261588,0.06480309
58,348830,0.025985166
59,340159,0.08910947
60,389531,0.08467524
61,162563,0.13393384
62,334705,0.0131464135
63,304569,0.0203054
64,310542,0.13932161
65,308062,0.041118536
66,261605,0.021355584
67,322239,0.032516025
68,117154,0.036023736
69,364023,0.1624453
70,348864,0.05603743
71,345535,0.07478883
72,228272,0.09889613
73,418424,0.08273134
74,383965,0.036592025
75,145408,0.058772556
76,427237,0.043403737
77,264554,0.08150814
78,174096,0.022350471
79,354555,0.038531844
80,410575,0.19926032
81,186995,0.051894534
82,283181,0.08444076
83,434215,0.1462277
84,337331,0.11246961
85,424061,0.033555824
86,232858,0.007175397
87,176976,0.10485151
88,289643,0.36288908
89,261786,0.020745782
90,160826,0.052855413
91,148685,0.031937957
92,184353,0.028197145
93,129079,0.07443849
94,169069,0.20588107
95,196926,0.17767954
96,221111,0.14913878
97,167852,0.01014537
98,297652,0.07066352
99,181938,0.04104307
100,293370,0.119001284
101,421379,0.026010614
102,332561,0.032686543
103,340723,0.01498758
104,229097,0.031979796
105,175449,0.045499895
106,193445,0.092624664
107,330554,0.07843086
108,302817,0.09026323
109,424238,0.15789734
110,175232,0.13238722
111,390273,0.027982347
112,187554,0.023599595
113,283526,0.046214513
114,422721,0.09232893
115,416240,0.086746596
116,259330,0.016257057
117,434371,0.1049671
118,382582,0.10765272
119,197878,0.030263562
120,189555,0.10355819
121,273167,0.10386223
122,241255,0.04036896
123,168675,0.059213888
124,260249,0.03434739
125,181438,0.043525886
126,247375,0.12478906
127,426054,0.05642568
128,264562,0.029931644
129,133340,0.45482013
130,325719,0.094540365
131,447395,0.06507379
132,452598,0.022675015
133,311400,0.07529149
134,341080,0.06394373
135,373081,0.13504283
136,404162,0.16308565
137,242418,0.07073258
138,237969,0.033866458
139,360771,0.120456636
140,231795,0.072673574
141,146290,0.0171246
142,421260,0.051212028
143,315059,0.04713223
144,282509,0.055025022
145,182155,0.17294253
146,107722,0.057879683
147,396388,0.14327528
148,330258,0.16217303
149,341315,0.49334398
150,320906,0.048116542
151,212236,0.01040554
152,235119,0.0116573665
153,292404,0.051128626
154,229696,0.057816494
155,258282,0.012036337
156,215108,0.009836871
157,274567,0.043073863
158,432205,0.087432645
159,353839,0.020295741
160,327514,0.14028478
161,285013,0.021742368
162,442313,0.029115904
163,404195,0.10745569
164,438392,0.03770312
165,309398,0.083970845
166,219282,0.098167606
167,260308,0.12346385
168,135148,0.01674136
169,445234,0.16759707
170,168834,0.021030517
171,329599,0.09681488
172,362760,0.07135637
173,163956,0.4893761
174,445122,0.54396826
175,251032,0.16290814
176,351312,0.013372123
177,302118,0.23044612
178,359576,0.012475364
179,171282,0.032220565
180,352937,0.0361044
181,449162,0.0353096
182,421092,0.05331556
183,141802,0.21842419
184,108833,0.16652493
185,148965,0.1678355
186,121902,0.11940461
187,100242,0.032245107
188,169654,0.06343544
189,276094,0.016947106
190,415451,0.0417938
191,248819,0.034505393
192,389326,0.03919675
193,210540,0.158245
194,439749,0.027739882
195,320069,0.038056653
196,393996,0.01759856
197,198943,0.2888198
198,311392,0.036311984
199,291040,0.06467923
200,173126,0.008847627
201,442873,0.06448422
202,319254,0.07467941
203,426528,0.02165357
204,200805,0.031584308
205,173889,0.015250549
206,116171,0.026528915
207,155997,0.06867225
208,115874,0.03522101
209,125263,0.12401935
210,361455,0.027865386
211,307117,0.14109562
212,199346,0.06839757
213,444746,0.029301874
214,211032,0.03456457
215,201396,0.11079085
216,252107,0.026730742
217,244492,0.1438324
218,287818,0.067908056
219,316442,0.076477334
220,366020,0.09217973
221,126061,0.03764499
222,382315,0.039804406
223,314882,0.06664521
224,448535,0.23303628
225,280609,0.031309366
226,178743,0.017782489
227,125823,0.059969373
228,434572,0.05006289
229,440279,0.20560104
230,140307,0.047453474
231,347288,0.05117696
232,210124,0.01225896
233,313107,0.054551825
234,190816,0.077008344
235,375291,0.05159171
236,346276,0.012162692
237,156775,0.16081958
238,437197,0.119323224
239,317309,0.0358693
240,122119,0.01892596
241,261788,0.03557511
242,420159,0.035484407
243,193244,0.1299759
244,124358,0.06804276
245,446769,0.18986222
246,356875,0.024262825
247,361425,0.06095802
248,356234,0.034761503
249,393083,0.035990987
250,121409,0.066418864
251,319077,0.040431485
252,316115,0.07462677
253,379361,0.06881042
254,133822,0.15329356
255,220485,0.23160955
256,330520,0.016997758
257,401779,0.023062373
258,437590,0.025926987
259,118908,0.07218617
260,283935,0.024863478
